0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:49 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:49 +0800] "GET /ch20/logos/20190923172144877.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:52 +0800] "GET /ch20/goodsDetail?id=13 HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:52 +0800] "GET /ch20/images/before/goods_ann2.gif HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:52 +0800] "GET /ch20/images/before/anniu14.gif HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:22:55 +0800] "GET /ch20/ HTTP/1.1" 200 8656
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:08 +0800] "GET /ch20/goodsDetail?id=13 HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:08 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:11 +0800] "GET /ch20/before?id=14 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:34 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:36 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:37 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:37 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:37 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
